id,title,description,content,source,date,link,scraped_date,llm_category
R001,‘This Is Something That Traditional Economics Isn’t Prepared to Deal With’ - The New York Times,"<a href=""https://news.google.com/rss/articles/CBMijgFBVV95cUxQaG53RWVLeElWcDVOektxODJQcktxNElPcEdEZWp1LUxhSTM2Zi1kckFrcE16Q05rbFFiSmNuNzUtZ3hWU3dXRlhYT0JpNnhlYlVPVVJFb2Z4R0lfZDNBQklZV3FjcUhMU2dfd0JxRmdqbU9kOGJJVVdaUHE4Mk5wV0habzRmZGQxakR6SWd3?oc=5"" target=""_blank"">‘This Is Something That Traditional","<a href=""https://news.google.com/rss/articles/CBMijgFBVV95cUxQaG53RWVLeElWcDVOektxODJQcktxNElPcEdEZWp1LUxhSTM2Zi1kckFrcE16Q05rbFFiSmNuNzUtZ3hWU3dXRlhYT0JpNnhlYlVPVVJFb2Z4R0lfZDNBQklZV3FjcUhMU2dfd0JxRmdqbU9kOGJJVVdaUHE4Mk5wV0habzRmZGQxakR6SWd3?oc=5"" target=""_blank"">‘This Is Something That Traditional Economics Isn’t Prepared to Deal With’</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The New York Times</font>",The New York Times,"Tue, 23 Dec 2025 10:03:56 GMT",https://news.google.com/rss/articles/CBMijgFBVV95cUxQaG53RWVLeElWcDVOektxODJQcktxNElPcEdEZWp1LUxhSTM2Zi1kckFrcE16Q05rbFFiSmNuNzUtZ3hWU3dXRlhYT0JpNnhlYlVPVVJFb2Z4R0lfZDNBQklZV3FjcUhMU2dfd0JxRmdqbU9kOGJJVVdaUHE4Mk5wV0habzRmZGQxakR6SWd3?oc=5,2025-12-29 12:06:44,general_economics
R002,The economics of megachurches - The Economist,"<a href=""https://news.google.com/rss/articles/CBMihwFBVV95cUxNV2wyREhCamYxQTRXT2pwZTk4OGRONEFNRzYyMzJVZEs0cndVWjdLc3phTU9nTXpydEtDd1pRaWw4Sk5MNER6WUs4NjVVbi0zTnlMZER6NVR6c3NNSmpkTXJaaFdFRFEtZi11X1duY3RZVmQ2cHkzdklWdERJeFBwVGRkd0JwMm8?oc=5"" target=""_blank"">The economics of megachurches</a>&nbsp;&nbsp","<a href=""https://news.google.com/rss/articles/CBMihwFBVV95cUxNV2wyREhCamYxQTRXT2pwZTk4OGRONEFNRzYyMzJVZEs0cndVWjdLc3phTU9nTXpydEtDd1pRaWw4Sk5MNER6WUs4NjVVbi0zTnlMZER6NVR6c3NNSmpkTXJaaFdFRFEtZi11X1duY3RZVmQ2cHkzdklWdERJeFBwVGRkd0JwMm8?oc=5"" target=""_blank"">The economics of megachurches</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Economist</font>",The Economist,"Fri, 26 Dec 2025 17:44:38 GMT",https://news.google.com/rss/articles/CBMihwFBVV95cUxNV2wyREhCamYxQTRXT2pwZTk4OGRONEFNRzYyMzJVZEs0cndVWjdLc3phTU9nTXpydEtDd1pRaWw4Sk5MNER6WUs4NjVVbi0zTnlMZER6NVR6c3NNSmpkTXJaaFdFRFEtZi11X1duY3RZVmQ2cHkzdklWdERJeFBwVGRkd0JwMm8?oc=5,2025-12-29 12:06:44,general_economics
R003,Mondal ties data-informed research to economics education - Slippery Rock University,"<a href=""https://news.google.com/rss/articles/CBMihgFBVV95cUxONjExcFpOZ1hpOW1RRE9UUHY3SHhYcEVrb2FMeXFWR0x1ckJvRVpuYXBQVFR4eFR4RlRzWXhLNGV3bnZOMTgzcndYLWVrTUVUS0NvOHN4Qm1ieHJHdDU1am5rcU13RFRNWUU0LVlxcDRDeXVPUEFydmF5bXpjRnN2TmplYkR4Zw?oc=5"" target=""_blank"">Mondal ties data-informed research to economi","<a href=""https://news.google.com/rss/articles/CBMihgFBVV95cUxONjExcFpOZ1hpOW1RRE9UUHY3SHhYcEVrb2FMeXFWR0x1ckJvRVpuYXBQVFR4eFR4RlRzWXhLNGV3bnZOMTgzcndYLWVrTUVUS0NvOHN4Qm1ieHJHdDU1am5rcU13RFRNWUU0LVlxcDRDeXVPUEFydmF5bXpjRnN2TmplYkR4Zw?oc=5"" target=""_blank"">Mondal ties data-informed research to economics education</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Slippery Rock University</font>",Slippery Rock University,"Mon, 22 Dec 2025 18:22:01 GMT",https://news.google.com/rss/articles/CBMihgFBVV95cUxONjExcFpOZ1hpOW1RRE9UUHY3SHhYcEVrb2FMeXFWR0x1ckJvRVpuYXBQVFR4eFR4RlRzWXhLNGV3bnZOMTgzcndYLWVrTUVUS0NvOHN4Qm1ieHJHdDU1am5rcU13RFRNWUU0LVlxcDRDeXVPUEFydmF5bXpjRnN2TmplYkR4Zw?oc=5,2025-12-29 12:06:44,general_economics
R004,"Construction Economics for December 29, 2025 - Engineering News-Record","<a href=""https://news.google.com/rss/articles/CBMihAFBVV95cUxQaUtNV2NpMjVwek5md1k5NmNqS0pjTTBwSFo4ZVpNdXhMTEozdlEwZHZwblZ4cmU1T0dONkxLOXVmZG54bVl6Smk2cnpMNkJ1dDZYMGE3ZHMzY0FjYURFRUVHdTdiODdTTDVyOWgwUDdYUHdQY2FNcVpzeUpTd1Z4U3F6Njk?oc=5"" target=""_blank"">Construction Economics for December 29, 2025</a>","<a href=""https://news.google.com/rss/articles/CBMihAFBVV95cUxQaUtNV2NpMjVwek5md1k5NmNqS0pjTTBwSFo4ZVpNdXhMTEozdlEwZHZwblZ4cmU1T0dONkxLOXVmZG54bVl6Smk2cnpMNkJ1dDZYMGE3ZHMzY0FjYURFRUVHdTdiODdTTDVyOWgwUDdYUHdQY2FNcVpzeUpTd1Z4U3F6Njk?oc=5"" target=""_blank"">Construction Economics for December 29, 2025</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Engineering News-Record</font>",Engineering News-Record,"Tue, 23 Dec 2025 13:00:00 GMT",https://news.google.com/rss/articles/CBMihAFBVV95cUxQaUtNV2NpMjVwek5md1k5NmNqS0pjTTBwSFo4ZVpNdXhMTEozdlEwZHZwblZ4cmU1T0dONkxLOXVmZG54bVl6Smk2cnpMNkJ1dDZYMGE3ZHMzY0FjYURFRUVHdTdiODdTTDVyOWgwUDdYUHdQY2FNcVpzeUpTd1Z4U3F6Njk?oc=5,2025-12-29 12:06:44,housing
R005,"The Evolving Economics of Ransomware: Fewer Payments, Bigger Payouts - Morphisec","<a href=""https://news.google.com/rss/articles/CBMinwFBVV95cUxObHV5Qlp5U21TcUIyZDZDQnQtcEN1alZsSmtyeDIxWW9EZDVRNVdQODRLazdwbjg0SEl4RWRSTU5PWTlpbmhNcXhKWHJyTmlaa3pnb1pIQUJQRnFvT0RSUmVGcWFtYnRxZHZmNDFMMXd0SDlycEhCX0RyOFpMNTNRRGJjQTBDRElUNGdXcXJCUWtTbVdJbTJBd1BBbEo3UlE?oc=5"" target=""_blank"">The Evolving","<a href=""https://news.google.com/rss/articles/CBMinwFBVV95cUxObHV5Qlp5U21TcUIyZDZDQnQtcEN1alZsSmtyeDIxWW9EZDVRNVdQODRLazdwbjg0SEl4RWRSTU5PWTlpbmhNcXhKWHJyTmlaa3pnb1pIQUJQRnFvT0RSUmVGcWFtYnRxZHZmNDFMMXd0SDlycEhCX0RyOFpMNTNRRGJjQTBDRElUNGdXcXJCUWtTbVdJbTJBd1BBbEo3UlE?oc=5"" target=""_blank"">The Evolving Economics of Ransomware: Fewer Payments, Bigger Payouts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Morphisec</font>",Morphisec,"Thu, 25 Dec 2025 14:02:46 GMT",https://news.google.com/rss/articles/CBMinwFBVV95cUxObHV5Qlp5U21TcUIyZDZDQnQtcEN1alZsSmtyeDIxWW9EZDVRNVdQODRLazdwbjg0SEl4RWRSTU5PWTlpbmhNcXhKWHJyTmlaa3pnb1pIQUJQRnFvT0RSUmVGcWFtYnRxZHZmNDFMMXd0SDlycEhCX0RyOFpMNTNRRGJjQTBDRElUNGdXcXJCUWtTbVdJbTJBd1BBbEo3UlE?oc=5,2025-12-29 12:06:44,general_economics
R006,Expanding Resolution Economics adds labor and employment office in Morristown - ROI-NJ,"<a href=""https://news.google.com/rss/articles/CBMivAFBVV95cUxNeW10eUdUOXZsNjI5cnhDcG5oQWE0Uzk4VFQyTnNiUUwycE5HOVhUZU1VaGlxNTZVVmFwUG9NLU1zUmV1M3Y1R3IxRmUwS00xNTFLcW45YWMwdzdOUkwyRG56TGZxb3pjMU5jQUNscWlMelAzVnVyVUZUQXdMMWF3cXBDR3JSaTdUc3gzTUVRM0J1NVFIcGYxR25rWDlVYVVPaVN5bUh4SzV5R0VkRXRPdlBQdlJuVm51eU","<a href=""https://news.google.com/rss/articles/CBMivAFBVV95cUxNeW10eUdUOXZsNjI5cnhDcG5oQWE0Uzk4VFQyTnNiUUwycE5HOVhUZU1VaGlxNTZVVmFwUG9NLU1zUmV1M3Y1R3IxRmUwS00xNTFLcW45YWMwdzdOUkwyRG56TGZxb3pjMU5jQUNscWlMelAzVnVyVUZUQXdMMWF3cXBDR3JSaTdUc3gzTUVRM0J1NVFIcGYxR25rWDlVYVVPaVN5bUh4SzV5R0VkRXRPdlBQdlJuVm51eU9WWQ?oc=5"" target=""_blank"">Expanding Resolution Economics adds labor and employment office in Morristown</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ROI-NJ</font>",ROI-NJ,"Wed, 24 Dec 2025 10:52:51 GMT",https://news.google.com/rss/articles/CBMivAFBVV95cUxNeW10eUdUOXZsNjI5cnhDcG5oQWE0Uzk4VFQyTnNiUUwycE5HOVhUZU1VaGlxNTZVVmFwUG9NLU1zUmV1M3Y1R3IxRmUwS00xNTFLcW45YWMwdzdOUkwyRG56TGZxb3pjMU5jQUNscWlMelAzVnVyVUZUQXdMMWF3cXBDR3JSaTdUc3gzTUVRM0J1NVFIcGYxR25rWDlVYVVPaVN5bUh4SzV5R0VkRXRPdlBQdlJuVm51eU9WWQ?oc=5,2025-12-29 12:06:44,employment
R007,The New Economics of Warehousing: Flexibility Over Footprint - Supply Chain Brain,"<a href=""https://news.google.com/rss/articles/CBMivwFBVV95cUxOcUNIenZNbFY4eS05aFpGbS1jam1rY1Z5RWdqZThHeUc3aEdpaGp0TllqX0tYUHZlRklWYkF0WnM0RnFPSDEwTTltS2tyUkhxWUU1MTRpY2J6MHRpNkR0U0dUNEF0bmMteVlLQnNpLXA3d05TLVpPMklpUHg0NE0wQUNRREhtVXJMWl9rTG8zVUpQcHhpSEpLOGRjVC1DTGxOb0M4U0VjQ2F0X1p0OEJhUUlONm4zLWswWH","<a href=""https://news.google.com/rss/articles/CBMivwFBVV95cUxOcUNIenZNbFY4eS05aFpGbS1jam1rY1Z5RWdqZThHeUc3aEdpaGp0TllqX0tYUHZlRklWYkF0WnM0RnFPSDEwTTltS2tyUkhxWUU1MTRpY2J6MHRpNkR0U0dUNEF0bmMteVlLQnNpLXA3d05TLVpPMklpUHg0NE0wQUNRREhtVXJMWl9rTG8zVUpQcHhpSEpLOGRjVC1DTGxOb0M4U0VjQ2F0X1p0OEJhUUlONm4zLWswWHpYeWJqNA?oc=5"" target=""_blank"">The New Economics of Warehousing: Flexibility Over Footprint</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Supply Chain Brain</font>",Supply Chain Brain,"Wed, 24 Dec 2025 08:06:27 GMT",https://news.google.com/rss/articles/CBMivwFBVV95cUxOcUNIenZNbFY4eS05aFpGbS1jam1rY1Z5RWdqZThHeUc3aEdpaGp0TllqX0tYUHZlRklWYkF0WnM0RnFPSDEwTTltS2tyUkhxWUU1MTRpY2J6MHRpNkR0U0dUNEF0bmMteVlLQnNpLXA3d05TLVpPMklpUHg0NE0wQUNRREhtVXJMWl9rTG8zVUpQcHhpSEpLOGRjVC1DTGxOb0M4U0VjQ2F0X1p0OEJhUUlONm4zLWswWHpYeWJqNA?oc=5,2025-12-29 12:06:45,trade
R008,Obesity Economics: How Subsidies Distort the American Diet - The Daily Economy,"<a href=""https://news.google.com/rss/articles/CBMimgFBVV95cUxOZHNUUndxOXdDU2MzWGpkZlhJM0k5SmljaDlwVV8yd2J2b19HalgxX2ZOQUJ5T0ZRaW9GOVhlZ2hycldGZmhiQ1VMZV8yeEZpcXlTeFA5c1ptNnVSdW82d0lTOHdxbS1NSUFhNnhkcFVSOExZMDdmU2pGZUtlLWUyVWltNmJ0cWF6QlBKLVRCWjN5b01TbE1HLWNR?oc=5"" target=""_blank"">Obesity Economics: ","<a href=""https://news.google.com/rss/articles/CBMimgFBVV95cUxOZHNUUndxOXdDU2MzWGpkZlhJM0k5SmljaDlwVV8yd2J2b19HalgxX2ZOQUJ5T0ZRaW9GOVhlZ2hycldGZmhiQ1VMZV8yeEZpcXlTeFA5c1ptNnVSdW82d0lTOHdxbS1NSUFhNnhkcFVSOExZMDdmU2pGZUtlLWUyVWltNmJ0cWF6QlBKLVRCWjN5b01TbE1HLWNR?oc=5"" target=""_blank"">Obesity Economics: How Subsidies Distort the American Diet</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Daily Economy</font>",The Daily Economy,"Tue, 23 Dec 2025 11:30:00 GMT",https://news.google.com/rss/articles/CBMimgFBVV95cUxOZHNUUndxOXdDU2MzWGpkZlhJM0k5SmljaDlwVV8yd2J2b19HalgxX2ZOQUJ5T0ZRaW9GOVhlZ2hycldGZmhiQ1VMZV8yeEZpcXlTeFA5c1ptNnVSdW82d0lTOHdxbS1NSUFhNnhkcFVSOExZMDdmU2pGZUtlLWUyVWltNmJ0cWF6QlBKLVRCWjN5b01TbE1HLWNR?oc=5,2025-12-29 12:06:45,general_economics
R009,Ecologies and Economics of Language AI in Practice - infoq.com,"<a href=""https://news.google.com/rss/articles/CBMiX0FVX3lxTE5xZEJYVy1GaXF4bDVwdHp0WEVUUlhGZ0kzdzlBVUNPZHJ4Tmt2bklYeGJjRTFaR25NeFlXZmwtc1p0bXgwMnNSa0xsVXdPOGxRZzZTcUlpN18wczlZUUMw?oc=5"" target=""_blank"">Ecologies and Economics of Language AI in Practice</a>&nbsp;&nbsp;<font color=""#6f6f6f"">infoq.com</","<a href=""https://news.google.com/rss/articles/CBMiX0FVX3lxTE5xZEJYVy1GaXF4bDVwdHp0WEVUUlhGZ0kzdzlBVUNPZHJ4Tmt2bklYeGJjRTFaR25NeFlXZmwtc1p0bXgwMnNSa0xsVXdPOGxRZzZTcUlpN18wczlZUUMw?oc=5"" target=""_blank"">Ecologies and Economics of Language AI in Practice</a>&nbsp;&nbsp;<font color=""#6f6f6f"">infoq.com</font>",infoq.com,"Wed, 24 Dec 2025 10:28:03 GMT",https://news.google.com/rss/articles/CBMiX0FVX3lxTE5xZEJYVy1GaXF4bDVwdHp0WEVUUlhGZ0kzdzlBVUNPZHJ4Tmt2bklYeGJjRTFaR25NeFlXZmwtc1p0bXgwMnNSa0xsVXdPOGxRZzZTcUlpN18wczlZUUMw?oc=5,2025-12-29 12:06:45,general_economics
R010,Construction Economics Entering 2026 - GroundBreak Carolinas,"<a href=""https://news.google.com/rss/articles/CBMibkFVX3lxTE1KRGh3aGo4Z2JqNlZ6TGUtQlB6V0pSeGtHV2tRVHF1TTNZdjE5UXdHUkpCSEs2bGtoRHBRTXFXN0twREVWb2J4cmMyVlBnNWtEaEdTTWZScDVpYTZodWNPTzZvbkRCQ0hWOXdUUy1n?oc=5"" target=""_blank"">Construction Economics Entering 2026</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Groun","<a href=""https://news.google.com/rss/articles/CBMibkFVX3lxTE1KRGh3aGo4Z2JqNlZ6TGUtQlB6V0pSeGtHV2tRVHF1TTNZdjE5UXdHUkpCSEs2bGtoRHBRTXFXN0twREVWb2J4cmMyVlBnNWtEaEdTTWZScDVpYTZodWNPTzZvbkRCQ0hWOXdUUy1n?oc=5"" target=""_blank"">Construction Economics Entering 2026</a>&nbsp;&nbsp;<font color=""#6f6f6f"">GroundBreak Carolinas</font>",GroundBreak Carolinas,"Mon, 22 Dec 2025 23:53:08 GMT",https://news.google.com/rss/articles/CBMibkFVX3lxTE1KRGh3aGo4Z2JqNlZ6TGUtQlB6V0pSeGtHV2tRVHF1TTNZdjE5UXdHUkpCSEs2bGtoRHBRTXFXN0twREVWb2J4cmMyVlBnNWtEaEdTTWZScDVpYTZodWNPTzZvbkRCQ0hWOXdUUy1n?oc=5,2025-12-29 12:06:45,housing
